,BJD,MJD,proxy,proxy_corrected,heliocentric_correction,viewing_angle_correction,LSD RVs,DRS RVs
0,2457759.93118029,57759.434328703705,-0.0057373218150554755,-0.0057373218150554755,0.0,0.0,-0.0897391300929832,0.0
1,2457763.14871179,57762.651875,-0.006642068322393936,-0.006642068322393936,0.0,0.0,-2.163643918249967,-3.1235958689685006
2,2457769.12498089,57768.6281365738,-0.005999430279354967,-0.005999430279354967,0.0,0.0,-0.6424737624689936,-1.577303271283505
3,2457771.94680816,57771.449953703705,-0.00656213667632353,-0.00656213667632353,0.0,0.0,1.258833769010467,3.056168465404294
4,2457778.02962058,57777.5327777779,-0.0017132900118421112,-0.0017132900118421112,0.0,0.0,2.4430894633165323,2.7596459650966985
